class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.3422879777227603,0.39343101343101344,0.32292152292152293,0.34616466750231095,0.3067095322977676,0.5128401663695781,0.2554048623668877,0.2997287522603978,0.2687763713080169,0.38443721505497497,0.31222087456949044,0.5425420168067226,9,[[  0.  88. 202.  68. 266.]
 [118. 117.  66.   0.   0.]
 [147.  10. 155.  16.   0.]
 [ 51.   0.  49.  43.  31.]
 [ 77.   0.   0.  19. 202.]],0.33380238118946093,0.4566372161238232,1.2469527379920085,1.4613386227616243
0.32680750049171103,0.4202228327228328,0.28713651668197127,0.33491792864857883,0.3168470418470419,0.478162148697863,0.22550830811700373,0.21106366459627332,0.29782608695652174,0.3396156915084582,0.30016397743670475,0.41871091871091864,10,[[  0.  79. 185. 109. 199.]
 [109. 104.  88.   0.   0.]
 [146.   5. 128.  49.   0.]
 [ 44.   0.  33.  66.  31.]
 [123.   0.   0.  23. 152.]],0.3107794115606615,0.39563016968150894,1.1953642709801595,1.580198801521744
0.36767440171320287,0.39616970922941075,0.3852910770821219,0.353498368716347,0.3571474713916574,0.43979076479076473,0.2019142037660556,0.22386831275720165,0.2164609053497942,0.4533768922816585,0.38627541612616245,0.5852345415778252,11,[[  0. 125. 159.  44. 178.]
 [112. 143.  46.   0.   0.]
 [159.  22. 126.  21.   0.]
 [ 62.   0.  34.  48.  30.]
 [ 58.   0.   0.  16. 224.]],0.35702590853260496,0.451929343391397,1.1900845626369119,1.5247333134923662
0.4090913697082193,0.422386249124217,0.45362335475971843,0.3357967492126419,0.387066431510876,0.3647092619314841,0.2569456469456469,0.24447089947089948,0.31907407407407407,0.37325648670611755,0.34817793317793316,0.4353235653235653,12,[[  0. 132. 124.  97. 150.]
 [ 93. 174.  34.   0.   0.]
 [158.  26.  98.  46.   0.]
 [ 59.   0.  21.  74.  20.]
 [113.   0.   0.  25. 160.]],0.3626771377985927,0.42972926544355117,1.1753971157595515,1.5929342646683966
0.4141371544074503,0.38531626249107603,0.5127649736804666,0.35846597689262466,0.388879326831134,0.4010014082303239,0.28696715049656224,0.27352007469654527,0.34549019607843134,0.4731227385776088,0.4147968697968698,0.5860866910866911,13,[[  0. 229. 135. 108. 161.]
 [ 89. 190.  22.   0.   0.]
 [166.  40.  94.  28.   0.]
 [ 55.   0.  33.  66.  20.]
 [ 63.   0.   0.  23. 212.]],0.3789298053380249,0.4926228698550127,1.1680465402702491,1.5465195535549097
0.37611516969961223,0.3935852138058021,0.4027645148968678,0.3462201954351446,0.3715136054421769,0.42141611695183123,0.3232266563845511,0.2978571428571429,0.42684210526315797,0.3533722349202225,0.3022116772116772,0.44875457875457875,14,[[  0. 139. 182. 116. 202.]
 [104. 153.  43.   1.   0.]
 [148.  19. 104.  57.   0.]
 [ 44.   0.  16.  96.  18.]
 [101.   0.   0.  29. 168.]],0.3571201657139157,0.4658707880248058,1.1431474406272173,1.5559380927256174
0.4106163377035795,0.4464989685468176,0.43187364045573,0.3168387524768674,0.4058641975308642,0.333399248214063,0.24114448051948054,0.2683333333333333,0.2616666666666666,0.47026696306524834,0.44010656010656013,0.5338278388278387,15,[[  0. 125.  70.  43. 144.]
 [115. 169.  17.   0.   0.]
 [186.  25.  91.  26.   0.]
 [ 59.   0.  28.  56.  31.]
 [109.   0.   0.  13. 176.]],0.4019686622463671,0.42238719035594036,1.1082473962257307,1.6085113404052598
0.41178164752107016,0.40791631760301833,0.47340067340067343,0.31340229935385644,0.35595704948646123,0.3540633222986164,0.19871589085072228,0.21340288924558584,0.23838951310861423,0.41029128855720587,0.3469156969156969,0.5439242814242814,16,[[  0. 163. 137.  89. 250.]
 [ 94. 188.  18.   1.   0.]
 [165.  33.  87.  43.   0.]
 [ 47.   0.  28.  49.  50.]
 [ 91.   0.   0.   4. 203.]],0.337606531783265,0.4270495935116471,1.0872695141782363,1.6166046996201788
0.3570864411112089,0.3542225792225792,0.4170522795522795,0.34868717212880174,0.3463656600851723,0.44540439235561186,0.26185300207039336,0.278713768115942,0.30380434782608695,0.35839042624710843,0.3122026507443174,0.4428461199294533,17,[[  0. 203. 169.  88. 198.]
 [ 96. 176.  29.   0.   0.]
 [143.  30. 113.  42.   0.]
 [ 45.   0.  37.  56.  36.]
 [102.   0.   0.  22. 174.]],0.3392566469575398,0.43552317391603107,1.0572108337655663,1.5998196373028415
0.43304241259911863,0.45059338097799634,0.4838439338439338,0.34969102792632206,0.33905228758169936,0.4440034801799508,0.24045268090211908,0.25149812734082394,0.2750936329588015,0.40060214136315936,0.3309613997113997,0.5401493930905694,18,[[  0. 135. 172. 106. 238.]
 [104. 173.  24.   0.   0.]
 [143.  32. 132.  21.   0.]
 [ 47.   0.  41.  54.  32.]
 [ 72.   0.   0.  25. 201.]],0.34696379182986326,0.4655655459784924,1.0345782296111186,1.5367149689367838
0.4009739872155277,0.3819449749596809,0.5041952260702262,0.3798969970051268,0.37162453458749756,0.4749042452746156,0.34455224514048044,0.34174603174603174,0.40450980392156854,0.36438789598113247,0.3237423687423687,0.45698412698412694,19,[[  0. 210. 172.  99. 191.]
 [ 78. 203.  20.   0.   0.]
 [148.  33. 125.  22.   0.]
 [ 42.   2.  38.  71.  21.]
 [ 95.   0.   0.  30. 173.]],0.37089241995360694,0.5004878719164434,1.0594896677260597,1.5333937566195215
