class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,[[ 0.  0.  0.  0.  0.]
 [18.  0.  3.  3. 35.]],0.3597916666666666,0.4125,0.3384604086027001,0.9618390172719955
0.2816666666666667,0.25666666666666665,0.34,0.3583333333333333,0.335,0.41,0.385,0.355,0.45,0.3733333333333333,0.365,0.39,25,[[ 0. 33. 31. 49. 22.]
 [14. 26. 10.  1.  0.]
 [31.  7. 21. 15.  5.]
 [28.  3. 14. 25. 11.]
 [16.  0.  2.  3. 38.]],0.32791666666666663,0.3975,0.31828258720913316,0.9954806268215179
0.27166666666666667,0.2633333333333333,0.29,0.418,0.36366666666666675,0.55,0.42400000000000004,0.3908333333333333,0.5,0.37333333333333335,0.3666666666666667,0.39,26,[[ 0. 19. 60. 53. 21.]
 [14. 21. 13.  3.  0.]
 [26.  6. 32. 14.  1.]
 [21.  2. 30. 24.  4.]
 [15.  0.  1. 11. 32.]],0.346125,0.4325,0.3014354996307932,0.9864518827199936
0.26966666666666667,0.22666666666666668,0.38,0.35952380952380947,0.2945,0.53,0.35,0.31533333333333335,0.43,0.21166666666666664,0.2033333333333333,0.23,27,[[ 0. 64. 84. 61. 26.]
 [14. 30.  6.  1.  0.]
 [25.  8. 34. 12.  0.]
 [21.  6. 35. 18.  1.]
 [13.  2.  6. 21. 17.]],0.25995833333333335,0.3925,0.293024544237238,1.0689523437619208
0.324,0.3125,0.35,0.3533333333333333,0.30999999999999994,0.45,0.37,0.355,0.4,0.4156666666666667,0.4078333333333333,0.44,28,[[ 0. 21. 54. 27. 21.]
 [17. 26.  7.  1.  0.]
 [29.  9. 30. 10.  1.]
 [29.  5. 14. 26.  7.]
 [15.  0.  1.  2. 41.]],0.3463333333333333,0.41,0.2937917664195552,1.028164447247982
0.28,0.25833333333333336,0.33,0.43566666666666665,0.38916666666666666,0.54,0.42233333333333334,0.39583333333333326,0.48,0.40015151515151515,0.39433333333333337,0.42,29,[[ 0. 36. 47. 37. 22.]
 [13. 27.  9.  2.  0.]
 [23.  5. 31. 18.  2.]
 [26.  3. 23. 25.  4.]
 [15.  0.  6.  3. 35.]],0.3594166666666666,0.4425,0.2698793002601826,1.0338334448635578
0.31666666666666665,0.31,0.33,0.4116666666666666,0.37666666666666665,0.49,0.3,0.285,0.33,0.3733333333333333,0.37,0.38,30,[[ 0. 16. 35. 31. 11.]
 [21. 28.  2.  0.  0.]
 [35.  3. 31. 10.  0.]
 [31.  3. 32. 13.  2.]
 [18.  0.  1.  2. 38.]],0.33541666666666664,0.3825,0.25732439425256515,1.1164375188946725
0.295,0.2783333333333333,0.33,0.358,0.299,0.51,0.4106666666666666,0.3725,0.5,0.3863333333333333,0.3653333333333333,0.44,31,[[ 0. 28. 75. 54. 39.]
 [12. 23. 14.  2.  0.]
 [29.  2. 30. 12.  6.]
 [26.  3. 19. 27.  6.]
 [13.  0.  2.  7. 37.]],0.32879166666666665,0.445,0.24402435534078665,1.082077241539955
0.30999999999999994,0.29666666666666663,0.34,0.34333333333333327,0.30833333333333335,0.42,0.355,0.34,0.39,0.4183333333333333,0.40333333333333327,0.45,32,[[ 0. 25. 48. 31. 14.]
 [17. 27.  6.  1.  0.]
 [34.  7. 21. 13.  4.]
 [24.  4. 25. 21.  7.]
 [11.  0.  2.  4. 42.]],0.33708333333333335,0.4,0.247390150497056,1.057823480963707
0.3,0.29,0.32,0.36999999999999994,0.34666666666666673,0.42,0.37666666666666665,0.365,0.4,0.38733333333333336,0.3725,0.42,33,[[ 0. 15. 21. 25. 17.]
 [16. 27.  5.  3.  0.]
 [36.  4. 21. 14.  4.]
 [28.  4. 21. 21.  7.]
 [14.  0.  5.  4. 36.]],0.3435416666666667,0.39,0.23815805698283996,1.21610431432724
0.304,0.2925,0.33,0.37333333333333335,0.337,0.46,0.4046666666666667,0.37666666666666665,0.47,0.3746666666666667,0.355,0.42,34,[[ 0. 29. 50. 45. 21.]
 [14. 26.  7.  4.  0.]
 [31.  4. 29. 11.  4.]
 [26.  4. 20. 24.  7.]
 [15.  0.  1.  3. 40.]],0.34029166666666677,0.42,0.23606166943456186,1.085025912821293
0.3183333333333333,0.31,0.34,0.37900000000000006,0.3411666666666667,0.47,0.4496666666666666,0.41666666666666663,0.53,0.4066666666666666,0.4,0.42,35,[[ 0. 21. 60. 50. 11.]
 [14. 28.  4.  5.  0.]
 [28.  3. 26. 19.  3.]
 [24.  3. 19. 30.  5.]
 [16.  0.  0.  4. 39.]],0.3669583333333333,0.44,0.24256392071644464,1.1008371564745902
0.31,0.305,0.32,0.4433333333333333,0.40833333333333327,0.52,0.395,0.37833333333333335,0.43,0.39,0.385,0.4,36,[[ 0. 18. 37. 30. 11.]
 [16. 27.  5.  3.  0.]
 [30.  4. 30. 11.  4.]
 [30.  2. 23. 22.  4.]
 [17.  0.  2.  3. 37.]],0.3691666666666667,0.4175,0.22322904295993573,1.2433730912208558
0.28,0.275,0.29,0.2816666666666666,0.26333333333333336,0.32,0.47666666666666674,0.455,0.52,0.3789999999999999,0.3575,0.43,37,[[ 0. 10. 26. 36. 34.]
 [18. 24.  5.  2.  2.]
 [33.  4. 21. 12.  9.]
 [28.  2.  7. 35.  9.]
 [17.  1.  1.  3. 37.]],0.3377083333333333,0.39,0.2142239184767911,1.2039717191457748
0.2933333333333333,0.285,0.31,0.3856666666666666,0.3508333333333333,0.47,0.44,0.42,0.48,0.385,0.3783333333333333,0.4,38,[[ 0. 19. 41. 32. 14.]
 [16. 24.  8.  3.  0.]
 [34.  4. 28. 11.  2.]
 [26.  4. 24. 25.  2.]
 [15.  0.  2.  5. 37.]],0.35854166666666665,0.415,0.21812261385147017,1.171480157971382
